video_file,asset_id,timestamp,action,hook,music,views,likes
test_video2.mp4,69d229d4a15205fa7bf03659,2026-04-05T09:22:41.639779+00:00,"- [00:00–00:05] The woman sits at a well-lit table, facing the camera with a warm, inviting expression. She begins speaking directly to the viewer while gesturing subtly with her hands, establishing a personal and engaging tone.  
- [00:05–00:16] She picks up a dark brown bottle labeled ""HabitRoses"" and holds it up to the camera, rotating it slightly to showcase its design and label.  
- [00:16–00:21] She places the first bottle down and reaches for a smaller, dark purple bottle, lifting it into view and turning it to highlight its appearance.  
- [00:21–00:31] She picks up a clear bottle with a purple label, holding it up with both hands and tilting it to catch the light, emphasizing its clarity and packaging.  
- [00:31–00:41] She then selects a small, dark brown jar, lifts it, and briefly holds it in front of her face before placing it down.  
- [00:41–00:51] She picks up a light green tube, holds it up, and rotates it slightly before setting it aside.  
- [00:51–01:04] She reaches for a pair of sunglasses with a cheetah-patterned frame, lifts them, and places them on her face, adjusting them slightly with her fingers.  
- [01:04–01:19] She picks up a furry, gray and black handbag, holds it up to the camera, and rotates it to display its unique texture and shape, then sets it down gently.","The video immediately captures attention with a visually curated setup: a neatly arranged table featuring a variety of stylish, high-end beauty and fashion items. The host opens with a confident, personal tone—“As a self-proclaimed fall girl”—immediately establishing a relatable and aspirational identity. Her direct eye contact with the camera, combined with the inviting aesthetic of the props and the clear thematic focus on “fall favorites,” creates an instant sense of intimacy and purpose. The text overlay “Fall Favorites” reinforces the theme, while the dynamic yet controlled pacing of her hand movements and the gradual reveal of each item build curiosity and encourage viewers to stay engaged to discover her top picks.","The video features a soft, upbeat indie-pop track with a gentle tempo and a warm, inviting mood. The music has a light acoustic guitar foundation, subtle percussion, and a breezy, melodic synth layer that complements the seasonal, chic aesthetic of the video. The rhythm is steady but not overpowering, allowing the spoken dialogue to remain clear and central. The mood aligns perfectly with the fall theme—cozy yet stylish, relaxed yet energetic—enhancing the overall vibe of curated personal style. The music swells slightly during transitions between items, subtly guiding the viewer’s attention and reinforcing the sense of a seamless, well-paced showcase. It never distracts from the visuals or dialogue but instead elevates the emotional tone, making the experience feel both intimate and aspirational.",0,0
test_video2.mp4,69d22abcf295a02e53cc8696,2026-04-05T09:26:33.193479+00:00,"- [00:00–00:05] The woman sits at a well-lit table, facing the camera with a warm, inviting expression. She begins speaking while gesturing subtly with her hands, establishing a personal and engaging tone.  
- [00:05–00:16] She picks up a dark brown bottle labeled ""HabitRoses"" and holds it up to the camera, rotating it slowly to show the label and design. She then places it down gently.  
- [00:16–00:21] She reaches for a smaller, dark purple bottle, lifts it into view, and rotates it slightly, drawing attention to its sleek, elegant appearance.  
- [00:21–00:31] She picks up a clear bottle with a purple label, holds it up, and turns it to highlight the liquid inside and the branding.  
- [00:31–00:41] She sets the clear bottle down and picks up a small, dark jar, opens it slightly to reveal its contents, and then closes it before placing it back.  
- [00:41–00:51] She picks up a light green tube, holds it up, and rotates it to show the texture and label, emphasizing its skincare function.  
- [00:51–01:04] She sets the tube down and picks up a pair of sunglasses with a cheetah-patterned frame, holds them up to her face, and then puts them on, adjusting them slightly.  
- [01:04–01:19] She lifts a furry, gray and black handbag, holds it up to the camera, and then places it back on the table, showcasing its unique, pet-like appearance.","The video immediately captures attention with the host’s confident, relatable persona and the visually curated display of lifestyle products. From the first few seconds, she establishes a personal connection by introducing herself as a “self-proclaimed fall girl,” instantly signaling the theme and tone. The arrangement of the items—fragrances, skincare, sunglasses, and a unique handbag—on a clean, stylish table creates a sense of aesthetic appeal and intentionality. Her expressive gestures and direct eye contact with the camera foster intimacy, while the sequential reveal of each product builds curiosity and momentum, encouraging viewers to keep watching to discover her full fall favorites.","The video features a soft, upbeat indie-pop track with a light, rhythmic tempo that complements the casual, stylish vibe. The mood is warm, cheerful, and slightly whimsical, enhancing the sense of seasonal celebration and personal style. The music subtly swells during transitions between product reveals, reinforcing the flow of the video and matching the host’s energetic yet relaxed delivery. It never overpowers the dialogue, allowing the spoken content to remain clear and engaging, while its melodic undertones add a layer of sophistication and emotional resonance that aligns perfectly with the chic, curated aesthetic of the fall-themed content.",0,0
test_video1.mp4,69d23f8c9ffca0861030ce25,2026-04-05T10:55:20.618828+00:00,"At 00:00, the woman holds up three cosmetic products—a red blush, a pink lip gloss, and a pink lip balm—then applies the red blush to her cheek, blending it smoothly with her fingers. By 00:05, she continues to refine the application, then lifts the blush and lip gloss to show them to the camera. At 00:12, she applies the lip gloss to her lips, then transfers a small amount to her cheek, blending it in with her fingertips. A split-screen appears at 00:19, showing both the lip gloss being applied to her lips and the same product being blended onto her cheek. She repeats the motion at 00:22, applying the gloss to her cheek first, then her lips, blending each area. At 00:29, she holds up the lip gloss and lip balm, and the screen splits again, showing the lip gloss on her lips and the lip balm on her cheek. At 00:34, she applies the lip balm to her lips, then to her cheek, blending it in. By 00:41, she picks up the lip balm and then the blush, reapplying the blush to her cheek. From 00:48 to 01:01, she continues to adjust the products on her face, then holds up all three items together while smiling warmly at the camera, concluding the routine.","The video immediately captures attention with the host’s energetic and inviting demeanor. From the very first second, she holds up the new Glow Recipe products with visible excitement, clearly signaling that this is a product reveal. Her bright smile, confident tone, and direct eye contact with the camera create an immediate sense of connection. The visual focus on the vibrant, dewy textures of the products—especially the glossy finish on her lips and cheeks—adds a tactile, desirable quality that draws viewers in. The fast-paced yet smooth transitions between product applications maintain momentum, encouraging the viewer to keep watching to see how each shade looks and how the products work together.","The music is upbeat, light, and playful, with a soft pop or indie-pop vibe characterized by a steady, bouncy tempo and a cheerful melody. The mood is fresh, youthful, and energetic—perfectly matching the dewy, radiant aesthetic of the makeup look. The audio complements the visuals by enhancing the sense of fun and immediacy; the rhythm aligns with the quick, fluid movements of the application, creating a harmonious flow. The dialogue, spoken clearly and with enthusiasm, is layered over the music without overpowering it, ensuring that key product details are heard while maintaining an engaging, non-intrusive audio backdrop. The overall effect is a vibrant, cohesive experience that feels both polished and authentic.",0,0
test_video2.mp4,69d23fb3f295a02e53cc891f,2026-04-05T10:56:01.606858+00:00,"- [00:00–00:05] The woman sits at a well-lit table, facing the camera with a warm, inviting expression. She begins speaking directly to the viewer while gesturing subtly with her hands, emphasizing her enthusiasm for fall fashion and lifestyle.  
- [00:05–00:16] She picks up a dark brown bottle labeled ""HabitRoses"" (later identified as the ""Flower Shop"" diffuser), holds it up to the camera, and rotates it slowly to showcase its design and label.  
- [00:16–00:21] She places the first bottle down and reaches for a smaller, dark purple bottle—likely the Creed perfume—holding it up with both hands, tilting it slightly to highlight the bottle’s elegance.  
- [00:21–00:31] She then picks up a clear bottle with a purple label (possibly a skincare product), rotates it in her hands, and brings it close to her face as if testing the scent.  
- [00:31–00:41] She sets this bottle aside and picks up a small, dark jar—likely the true botanical eye mask—opening it slightly to reveal its contents before placing it back down.  
- [00:41–00:51] She picks up a light green tube (a face mask), holds it up, rotates it, and gestures toward her face as if demonstrating application.  
- [00:51–01:04] She sets the tube down and picks up a pair of Prada sunglasses with a cheetah-patterned frame, holding them up to her face, adjusting them slightly, and then putting them on. She smiles and looks into the camera, emphasizing the style.  
- [01:04–01:19] She lifts a furry, gray-and-black handbag, holding it up to show its unique texture and shape, then gently places it back on the table, giving it a playful glance as if it were a pet.","The video immediately captures attention with a vibrant, curated aesthetic—bright lighting, a stylishly arranged table filled with chic, high-end products, and the host’s confident, conversational tone. The opening line, “As a self-proclaimed fall girl, I wanted to share with you guys some of my favorite chic items for the fall,” sets a relatable, personal tone. Her energetic delivery, combined with the visual focus on luxurious, seasonal items, creates an instant sense of aspiration and curiosity. The dynamic movement of her hands and the deliberate, slow reveal of each product build anticipation, making viewers eager to discover what’s next. The blend of personal storytelling and product showcase keeps the viewer engaged throughout.","The music is soft, upbeat, and modern—likely indie-pop or lo-fi with a warm, melodic tone. It features a steady, gentle tempo that complements the video’s relaxed yet stylish pace. The mood is cozy, inviting, and slightly glamorous, perfectly aligning with the fall theme and the host’s chic, confident persona. The instrumental layering—light piano, subtle synth textures, and a soft rhythmic pulse—enhances the visual rhythm of the product reveals without overpowering the dialogue. The music swells slightly during transitions between items, reinforcing the flow and maintaining viewer engagement. It supports the overall aesthetic of elegance and comfort, creating a seamless sensory experience that matches the visual and verbal content.",0,0
test_video3.mp4,69d23fc9711f36db761a5ea9,2026-04-05T10:56:17.880966+00:00,"At 00:00, the woman holds up a bottle of MERIT Glow Serum with Niacinamide directly toward the camera, clearly showcasing the product. She then presses the pump, dispensing a small amount of serum onto her palm. Immediately after, she begins applying the serum to her face, using her fingers to spread it evenly across her skin, with particular attention to her cheeks and forehead. By 00:03, she transitions into a gentle tapping and massaging motion, using her fingertips to work the serum into her skin, promoting absorption and circulation. The movements are smooth, deliberate, and focused, conveying a sense of care and precision. At 00:04, she finishes the application with a subtle, natural smile, signaling completion of the routine.","The video’s hook is established instantly at the very beginning, within the first second. The woman’s direct eye contact with the camera, combined with the immediate close-up of the product, creates a strong visual focal point. The clear, uncluttered presentation of the MERIT Glow Serum with Niacinamide—held center-frame and illuminated—immediately communicates the video’s purpose: a skincare demonstration. This direct product focus, paired with the calm, confident demeanor of the woman, draws viewers in by promising a simple, effective, and trustworthy skincare step. The lack of distractions and the clear progression of actions keep the viewer engaged, encouraging them to watch through to the end to see the result.","The music is soft, ambient, and minimalist, with a slow tempo that creates a calming and soothing atmosphere. The genre leans toward instrumental lo-fi or wellness-inspired background music, featuring gentle piano notes and subtle synth layers. The mood is serene and meditative, perfectly complementing the slow, intentional movements of the woman applying the serum. The audio pacing mirrors the visual rhythm—deliberate and unhurried—enhancing the sense of mindfulness and self-care. There are no vocal tracks or abrupt changes in tone, ensuring the focus remains on the product and the skincare process. The music subtly reinforces the video’s message of relaxation and skin wellness, making the experience feel both luxurious and accessible.",0,0
test_video4.mp4,69d23fdf9ffca0861030ce29,2026-04-05T10:56:41.611338+00:00,"At 00:00, the woman is seated in the driver’s seat of a car, wearing a blue v-neck shirt and a silver necklace, looking directly into the camera with a calm, engaging expression. At 00:01, she runs her hand through her hair, a subtle gesture that adds a natural, relaxed tone. She continues speaking at 00:02, maintaining eye contact. At 00:03, she slightly turns her head to the right, then returns to face the camera at 00:04. At 00:05, she repeats the hair gesture. At 00:06, she turns her head to the left, then looks back at the camera at 00:07. She smiles warmly at 00:07, sustaining the expression through 00:08. At 00:09, she briefly looks down, then glances back at the camera at 00:10, resuming her conversation. At 00:11, she smiles again, reinforcing a friendly and inviting presence.","The video’s hook lies in the immediate, personal connection established between the woman and the viewer. From the very first frame, she looks directly into the camera with a composed yet approachable demeanor. Her subtle gestures—running her hand through her hair, slight head turns, and warm smiles—create a sense of authenticity and intimacy. The casual, unposed nature of her actions, combined with the quiet setting of the car interior, draws the viewer in by making them feel like a participant in a private moment. This emotional engagement, coupled with the poetic spoken line “Give all you've got under the moonlight, it's yours for the taking,” delivered with quiet confidence, compels the viewer to continue watching to understand the deeper meaning or narrative.","The music is soft, atmospheric, and melodic, with a slow to moderate tempo that evokes a dreamy, reflective mood. It blends elements of ambient pop and cinematic indie, featuring gentle synth layers, subtle reverb, and a steady but understated rhythm. The mood is intimate and slightly romantic, perfectly complementing the woman’s calm presence and the quiet intensity of her gaze. The music swells slightly in tone during the spoken line “Give all you've got under the moonlight,” enhancing the emotional weight of the moment. The audio and visuals are tightly synchronized—her smile at 00:07 coincides with a soft rise in the music’s harmony, reinforcing the sense of connection and invitation. The overall effect is immersive, drawing the viewer into a moment of quiet allure and emotional resonance.",0,0
test_video5.mp4,69d23ff3f295a02e53cc8924,2026-04-05T10:57:02.543969+00:00,"From 00:00 to 00:10, a young woman is the central figure on screen, maintaining direct eye contact with the camera throughout. She holds a small, black electronic device with a green light at its center, positioning it prominently in front of her face. At 00:00, she raises the device slightly and holds it steady. At 00:02, she makes a subtle movement with the device, shifting it slightly in her hand. At 00:03, she gestures with her free hand—likely to emphasize a point—while keeping her gaze fixed on the camera. At 00:04, she forms a peace sign with her fingers, still holding the device. At 00:05, she makes another small hand gesture, possibly reinforcing her message. At 00:07, she briefly looks down at the device, then returns her gaze to the camera. This brief glance is followed by another slight movement of the device at 00:08, after which she continues to hold it steadily and maintain eye contact until the end of the clip at 00:10.","The video’s hook lies in its immediate visual and conceptual intrigue. From the very first second, the young woman’s direct eye contact with the camera establishes a personal, engaging connection with the viewer. The mysterious black device with a glowing green light creates instant curiosity—its purpose is unclear, and its simplicity contrasts with the bold claim implied in the dialogue. The combination of her focused expression, the unexplained object, and the provocative statement about an app that made $5,000 in three days by making a Mac moan creates a compelling narrative hook. The viewer is drawn in not just by the visual, but by the absurdity and humor of the idea, prompting them to keep watching to understand the joke or the underlying message about app development.","The audio track features a light, upbeat electronic beat with a steady tempo, creating a playful and energetic mood. The genre leans toward modern lo-fi or digital pop, with subtle synth layers and a rhythmic pulse that complements the quick, deliberate movements on screen. The music subtly rises in intensity around 00:05, coinciding with the peace sign gesture, and maintains a consistent, engaging rhythm throughout. It enhances the video’s humorous and ironic tone, reinforcing the satirical commentary on overthinking app ideas. The audio dialogue—“Apparently we're all overthinking app ideas because there was just an app that made $5,000 in three days and all it does is make your Mac moan when you slap it. So just ship that idea.”—is delivered with a confident, slightly sarcastic tone that aligns perfectly with the music’s upbeat, irreverent vibe. The synergy between the audio and visuals amplifies the video’s message: simplicity and absurdity can be more effective than complexity in the world of app development.",0,0
test_video6.mp4,69d24004f295a02e53cc8927,2026-04-05T10:57:17.951577+00:00,"At 00:00, a woman is performing a bench press on a weight bench, lifting a barbell with weights. She is lying flat on the bench, arms extended upward, then lowering the barbell to her chest before pushing it back up. A second woman stands behind her, hands positioned on the barbell, ready to assist as a spotter. The camera quickly cuts to a woman sitting on the gym floor, typing on a laptop, her focus evident as she works. The scene returns to the bench press at 00:02, where the lifter continues the motion, and the spotter remains attentive. At 00:04, the camera zooms in slightly on the woman typing, capturing her concentration and the subtle movements of her fingers on the keyboard, while the gym environment remains visible in the background.","The video grabs attention immediately with a dynamic fitness action— a woman performing a bench press—set against the authentic backdrop of a gym. The presence of a spotter adds a layer of realism and safety, appealing to viewers interested in strength training. The sudden shift to a woman working on her laptop in the same space creates a compelling contrast: physical exertion versus mental focus. This juxtaposition sparks curiosity—why are these two scenes happening simultaneously? The viewer is drawn in to understand the connection between the intense physical effort and the calm, focused work, making them want to continue watching to uncover the narrative or message behind the dual activities.","The video features an energetic, rhythmic track with a steady tempo that matches the pace of the bench press repetitions. The mood is motivating and uplifting, with a modern electronic or pop-influenced beat that enhances the intensity of the workout. The music builds subtly in volume and complexity during the lifting sequences, reinforcing the physical effort and creating a sense of momentum. When the camera shifts to the woman typing, the music maintains its driving rhythm but slightly softens in intensity, allowing the focus to shift to her concentration without losing the overall energy. This dynamic interplay between music and visuals supports both the physical and mental aspects of the video, seamlessly complementing the dual narrative of strength and productivity.",0,0
test_video7.mp4,69d2401af295a02e53cc8929,2026-04-05T10:57:39.909939+00:00,"At 00:00, a woman is seated in the driver’s seat of a car, wearing sunglasses and a white top. She begins adjusting her hair with her right hand, moving it from her forehead to the back of her head. At 00:01, she continues the motion, repositioning her hair near the crown of her head. By 00:02, she tilts her head slightly to the left while maintaining eye contact with the camera. At 00:03, she brings her hand back to her forehead, smoothing her hair again. At 00:04, she turns her head slightly to the right, still engaged in hair adjustment. At 00:05, her hand moves to the side of her head, tucking a strand behind her ear. By 00:06, she rests her hand on her shoulder, maintaining a poised posture. At 00:07, she tilts her head back to the left once more, her expression calm and composed. From 00:08 onward, she remains still, with no further movement, holding a confident and collected demeanor.","The video immediately captures attention through the woman’s striking presence—her stylish outfit, sunglasses, and deliberate, graceful movements. The close-up framing emphasizes her facial expressions and subtle gestures, creating an intimate and magnetic visual experience. Her direct gaze into the camera establishes a personal connection with the viewer, while the text overlay referencing themes of “maturing” and “traveling” introduces a narrative intrigue. The combination of her poised demeanor, the rhythmic hair adjustments, and the mysterious tone of the spoken lyrics creates a compelling hook that invites the viewer to engage with the emotional and thematic depth of the scene.","The audio features a soulful, melodic track with a mid-tempo rhythm, blending elements of R&B and indie pop. The mood is introspective and emotionally charged, with a smooth, layered vocal delivery that complements the visual pacing. The lyrics—“I've been tornin' stateside, Kissin' my sweetest boy over FaceTime, Who knew? Opening up with fake in your head”—add a layer of vulnerability and longing, mirroring the woman’s quiet intensity on screen. The music’s gentle beat and atmospheric instrumentation enhance the sense of intimacy and reflection, perfectly aligning with her slow, deliberate movements and the theme of emotional distance and connection through technology. The synergy between the audio and visuals deepens the narrative, making the experience immersive and emotionally resonant.",0,0
test_video8.mp4,69d2402acb42041ab6d1c47d,2026-04-05T10:57:57.545257+00:00,"From 00:00 to 00:04, a woman in a black and white sweatshirt sits in front of a computer, wearing headphones, and looks directly into the camera while speaking. At 00:04, she begins typing on her keyboard, and the camera shifts focus to the computer screen, revealing lines of code being written in real time. She continues typing and explaining the code from 00:04 to 00:51, with consistent hand movements on the keyboard and occasional glances at the screen. Her gestures remain focused and deliberate, emphasizing her engagement with the programming interface. At 00:51, the screen transitions to a pixel art animation of a person holding an umbrella in the rain, which remains static until the end of the video at 00:57.","The video grabs attention immediately through the woman’s confident, direct address to the camera, combined with her clear expertise and calm demeanor. Her opening line—“I cannot play any instruments, but I can code, so let's make music with code”—immediately establishes a unique and intriguing premise. The visual hook is reinforced by the transition from a close-up of her face to a dynamic, evolving code interface, followed by the final pixel art animation, which adds a whimsical, artistic payoff that leaves viewers curious about the creative outcome of the code she’s been writing.","The music evolves throughout the video in sync with the code being written. It begins with a simple piano melody featuring the notes C3, E3, G3, and B3, establishing a soft, melodic foundation. As more elements are added—such as a layered stack of notes, a subtle kick drum, sparse hi-hats with a glitchy rhythm, and a low-pass filter applied to create a lo-fi, dreamy texture—the music becomes increasingly textured and atmospheric. The addition of a sawtooth wave base and a triangle synth introduces a robotic, electronic quality, while the chord progression from C to G adds harmonic movement. A gentle ascending melody using B4, C5, D5, and E5 is introduced toward the end, contributing to a sense of resolution and emotional lift. The overall tempo is moderate and steady, with a mood that shifts from introspective to dreamy and slightly glitchy, perfectly complementing the visual progression from code to pixel art. The music’s evolution mirrors the creative process on screen, reinforcing the narrative of transforming code into art.",0,0
